,source_id,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
148,686480638853875584,135.40513139167533,23.531953588694144,-5.713022030049845,-12.393637008449641,1,0,21.640100479126,19.5216999053955,-57.015403672584284,2.794244347816919,-8.229040437148768,1.4608866730638463
149,686428132877785600,136.2552482636698,23.38183413557434,-4.863878575117215,-11.200680356418387,1,0,21.6107006072998,19.5608005523682,-56.73543909869602,2.050953755510237,-6.747673917340005,1.2587752928336042
150,637729079256440192,141.21738046308494,21.388324782683178,-4.313506868032601,-11.815858081252484,1,0,19.3129005432129,18.9188995361328,-55.939399284830586,-2.8874063113775783,-6.860757594675366,-0.13084527350846992
151,637794431478989696,140.70502700255363,21.618500232217208,-6.189511306124455,-11.75330394115146,1,0,19.638599395752,17.9598007202148,-56.01048018946591,-2.3628369751610627,-7.853320678788838,1.5316146193232354
152,686427514402491776,136.2400962943684,23.367069194353554,-3.3892002418274605,-11.422736007928377,1,0,17.6431007385254,17.2591991424561,-56.755321030197535,2.0550360552345777,-6.1632136363668355,-0.11148902976821519
153,686317704974594048,134.8777527596134,22.62301652492316,-5.11154064844667,-12.588710331666315,1,0,20.0330009460449,19.2744007110596,-58.045330851937535,2.737028348835292,-8.130322074099256,0.8849301373176697
154,686366942479608192,134.776860995597,23.063993187183268,-6.570790753993852,-11.284762658430697,1,0,19.6375007629395,19.0701999664307,-57.71571997435183,3.0448248273342267,-7.757499633260827,2.8316021133986884
155,686541627389697920,134.03412082490013,23.067321293756414,-4.766690664716906,-13.799363479188361,1,0,16.7747993469238,15.9254999160767,-58.06548534256649,3.6322557648905667,-9.005361340088536,0.07874292616245128
156,686282658041586176,135.59866670811687,22.650600596859466,-5.456720927545563,-13.846629482765286,1,0,17.8719997406006,16.6299991607666,-57.67547014975355,2.183004238336081,-9.35835496487694,0.4386654072469318
157,686530559258047616,134.56378291178564,23.05622445255078,-4.842674215217097,-12.359521401312985,1,0,21.7525005340576,19.5620002746582,-57.82380948949219,3.2086788518525635,-7.791110487715634,0.8211992068717807
158,686561242504496128,134.6076056804167,23.279434495529188,-4.280410006422913,-13.255656558917549,1,0,17.637300491333,16.6566009521484,-57.611483869283575,3.289354444591567,-8.259643815571437,-0.12212753354909729
159,686466104684518528,135.11692150084298,23.237349172059446,-3.7182565848962708,-11.601925713865604,1,0,16.6394004821777,15.8780002593994,-57.40504703427422,2.867179033481018,-6.535322250775106,0.19357674965012706
160,686459370175874688,135.60723843162674,23.324355265871343,-3.94275984935096,-13.450966563433974,1,0,15.5474996566772,14.9935998916626,-57.09608190119451,2.527801129061069,-8.208688266052205,-0.6304845982880859
161,686468986606994688,135.28238086284628,23.379773541282127,-3.779898808922476,-13.894019087534865,1,0,19.175500869751,18.6417007446289,-57.204173109566796,2.811287092541019,-8.51471916778365,-0.9595681186272309
162,638085767700610432,142.9347319464589,22.46244080823965,-3.6585960944321476,-12.486419770278376,1,0,21.6445007324219,19.578800201416,-54.15589125311561,-3.6092298620582635,-6.941141784130082,-1.2268623536858076
163,638019457700511104,142.92417380664236,22.02440242207421,-3.5723510500515716,-13.19584836093443,1,0,17.3187007904053,16.1121006011963,-54.524012301426694,-3.848046343810887,-7.493611150669562,-1.7032604521032286
164,638018834929979008,143.02075904204435,22.008932825776313,-4.526780611459541,-12.74505386649784,1,0,18.2497997283936,17.6009006500244,-54.486228168853245,-3.9307262064578095,-7.655247860440276,-0.6725804817269562
165,638332573701046144,141.50728373944773,22.541909370440976,-5.606431687186506,-11.606275142709592,1,0,18.5638008117676,17.0813007354736,-54.82898042868436,-2.471822686197655,-7.3551803261579405,1.0477547999678
166,637967986812527104,142.68698103676442,21.510937676145456,-5.984624629814157,-11.299603057981793,1,0,20.9473991394043,19.1175994873047,-55.07372240664699,-3.95475416428966,-7.3090168979685775,1.3781373729864292
167,637972243125246592,142.91683518772356,21.594437935086678,-6.021706269730077,-13.741660162671304,1,0,19.9067993164063,18.6594009399414,-54.8839939468657,-4.084582366999178,-9.338818310978658,0.008252996820411864
168,638270726171947136,141.83545651183417,22.48056070738496,-6.392367789362552,-12.619602339414332,1,0,21.2278995513916,19.4113998413086,-54.71116638973683,-2.7578697055393393,-8.62620447271619,1.0959571928429355
169,638042680589537408,142.54858453345324,21.918156504506722,-4.580947706140478,-12.698236913702296,1,0,17.5368995666504,16.6117992401123,-54.808321366088876,-3.619748818753775,-7.670256313419205,-0.5461528688911524
170,638159606778316544,141.62485928486046,22.01573745712059,-3.3358069800091283,-14.292923068847541,1,0,20.4501991271973,19.8472003936768,-55.20642375440025,-2.854626194146135,-8.339536303253803,-2.3555983670260177
171,638110128754692992,141.22748788346965,21.57741124964874,-6.622139701891431,-13.36651446005017,1,0,15.8428001403809,15.3859996795654,-55.77647357850452,-2.7906463442753426,-9.42296133793521,0.936534078291723
172,637977573179139456,142.7980030499748,21.718239633651603,-3.211726567166137,-12.339644949876007,1,0,20.2371006011963,19.5293998718262,-54.84370567467596,-3.923617905053263,-6.59966863386868,-1.5094188695669628
173,638155930286163072,141.8083190421602,22.12473186480689,-3.800988809339241,-13.98355105699766,1,0,17.8390998840332,17.3649997711182,-55.02102841795039,-2.9352589399409803,-8.327799578639047,-1.8179755284909855
174,638261281539217408,142.1424902692776,22.413620397688884,-4.639341252790413,-12.1082535096776,1,0,17.0237007141113,16.1991996765137,-54.60817786334144,-3.030683073695921,-7.214750520616781,-0.11159313653309662
175,638169781555854592,141.60549319423464,22.130589015908036,-4.125001974733826,-12.41416304956313,1,0,16.2998008728027,15.7522001266479,-55.12081483362829,-2.775874964202677,-7.2133688348228855,-0.6511639744943253
176,638172560399550208,141.7063457367774,22.242201812927664,-3.6518446627564005,-14.304855687688253,1,0,19.5214004516602,17.6616992950439,-54.975949538669,-2.791424770391396,-8.51307694719525,-2.1061822992954258
177,638083126295702784,142.79787874788266,22.358745555067962,-4.6205276964277315,-12.33775821351829,1,0,18.1306991577148,17.5021991729736,-54.313149134338914,-3.5631204754252765,-7.369637369962249,-0.33390779823324374
178,638227570340963840,141.18996021464656,22.255497183345458,-3.7012008516843693,-12.85130711617072,1,0,19.4846992492676,18.6175003051758,-55.230359021820675,-2.386442066973445,-7.356712626970285,-1.195718268571412
